cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
1030671931#0,1120936393,-1028570786#1,379075314#2,-450523569,55423023#0,273211156#5
1033723437,1147401994,1028570790#6,27085148#5,368086828#3,-1124642428#2,198900384#4
25868124#0,171300278#2,170624691#6,682703711#2,-90795029,643059741,40969576
265010573#0,23350417#0,-1028570785#1,67027572#0,202903720,47118452#0,856631371#13
265010590#1,24059844,-1028572143#0,89423681#1,368086828#10,47118453#2,1245764631
59254368#1,285454834#0,-46875474,33625073#2,243206484#1,-55423023#1,-95274313
968221183#8,311912291,-44884987#0,682699857#0,682261295,1056405596#0,690601665
-4848912#4,333682042#0,1028573261#5,92204278#1,33625902#3,47118451#1,1055857393#0
1030669188,333682044,-44884665#4,231665609,1244504475#1,-1093327667#3,74314555#1
25868122,353940886,170624691#7,-263956788#6,273211073#5,871576397#1,-46151739#2
-4848912#0,44837352,1028572152#3,-263936851#3,95396838#3,-60647195,538982926#6
-177148861#0,721120031#1,170624687,264070491#2,368086842,-55889051#1,622650808
172368557#1,45017436#0,170624688#4,-93470027#1,314205670#1,-47118452#0,97671397#6
-172368556,760588360#1,198929903,90636499#1,265176187#6,55889043,97671376#0
968221183#6,45172803#2,23766689#3,263881214#0,94094796#5,421328432#0,157292833#7
968221183#7,548903448#2,-23288368#0,-958539562#1,-254327780#1,55422998#1,240392355#3
-1030669187#0,-680781425#0,-1028570786#5,139506064#2,95282524#0,-1056405596#0,97671387#1
1030669187#0,680781425#0,1028570786#8,92403802#1,368086832#6,-47118453#1,157292833#3
-211690608,27241669#2,-368074417#1,408269726#4,156938703#2,365706979#2,97671474#3
1030281241#2,257239011#1,-1028573261#4,92403859#0,682261292#0,-1189786111,-97685672
1093314337,1028619485#0,1028572140#0,93325432,368086828#4,-1189786108,-97671331#1
1093314338,257357822#0,172627210#1,44887720#0,95396825#4,-365706979#1,-46151739#0
-4848912#6,-285664452,170624724#0,231876387#2,33640827#4,-55422998#0,1143901792#0
-154083437#0,285664450,-166899880#2,341182777,1031963660,-55881483#3,97671447
154083437#0,-45172805#0,1028574803,-1298032332#3,368086832#5,1057083594#2,74314565#0
-1030669193,-45172807#2,170624685#1,-263865426,94094796#6,-401190970,97671397#3
1030669193,1028619483,44884829#1,145569058#0,94094796#8,-55889043,355240125#5
4848916#1,1028619497#0,44884829#4,-34951755#1,368086830#1,871576397#0,-95274398#0
-1030669189,-266086967,368083794,254305245,35216007#0,-1237946798,203572463#0
172368554,266086967,-44884667#0,31624134#0,1055853350,-59664306#0,69963033#1
265010607#1,-332634091#7,1028573264#0,263935798#1,273211073#1,-1237942415,690601667#5
-154083437#1,-332634091#8,-198929902,51937093#2,157238666#0,47118453#3,1031976632#2
172368557#0,-24372991#1,-44884834#4,92204266#1,35216007#13,189483663,97671392#1
265010607#2,24372991#1,170624710,156643842#4,682261292#1,680508514,342481198#0
-4848912#2,-100102319#1,-44884665#0,27085148#1,401195404,1189786109,198900392#2
-172368557#1,31237856,209210755#5,958539570#2,31047009#4,55423023#1,264298077#1
4848912#6,31283137#1,-44884834#2,-93470052#0,254327783#0,55784009,74314549#3
4848912#0,1029279500,-44884671#0,572507447,94094796#4,55422971,680782188#6
-211690618#1,-23990057,-44884665#5,41520004#0,32122316#1-AddedOnRampEdge,-1056405596#3,97671376#5
968221183#3,46149026,32204060#1,139504257,94094793#5,1237942416,23488888#4
211690618#2,46149024,209210755#3,264114581#3,680760288#1,-47118453#3,1284334995#0
-111594584#0,-45172806#1,44884836,263881205,265176670#0,1093327667#0,97671394#0
-47025712#1,45172806#1,44884835#1,181579861,-89825913#2,60647195,97671376#8
154083433#1,4853039#0,-368074418#0,958539560#1,265176187#4,55889051#1,74314560
665904757,486067311,-46875475#0,54690001,368086015#5,-1189786109,24061029#9
642608818,304919602#3,170624718#1,34951714#0,156938689,156791387,95274385#11
642608816,388577162#0,129219187#1,254304968#3,35216007#6,-47118451#3,97671401#0
1030669189,-46149611#1,1028570783#1,22730620#3,95396799#0,47118453#0,95274384#0
-1030669190#1,46149607,1028573263#3,-263935797#2,93713546#1,1189786111,23488887#1
154083437#1,257357802#3,-1028570786#7,181579868#6,95396853#5,1189786108,97671343#5
1030671931#2,209215787#0,170624724#1,-537438903#7,1126127669,871576395,31046486#0
177148862,44955975#0,184580019#0,34951880#3,95396793#0,-680508547#1,1245764632#0
154083815,22823721#6,-170624693,139506059#1,95396821#0,365706979#1,-1234173061
265010613#0,388577164#5,170624714,67027572#1,95396825#5,-59664306#4,525291476
111594584#1,-680781425#1,-1028573261#5,-175987706#1,-46151433#0,55422998#0,-95274349#5
4848916#0,680781425#2,44884668#2,408269726#1,667863956,55881483#0,680782191#0
-154083433#0,31283076#0,172627267#5,89043373#0,667863958,-1189786107,680782188#7
211690618#1,-319196860#0,-44884671#1,181579915,47418248#7,-365706990#1,97671426#1
-211690618#2,131025957#1,1028570785#1,874155679#1,90636869#0,46771107#0,172598551
1030669190#1,131025957#2,1028570786#7,327402833#1,47418248#6,401190970,-680782188#8
172368556,-24372996#0,129219188,1245147128#0,1244504475#0,-1124642428#1,97685712#0
172368555,24372996#0,-368074414#0,682703711#0,94094831#2,1237946798,378284518#1
4847513,31283064#0,-1028570786#8,-727486837#1,94094868#4,54928199,23770583#0
1030281241#1,131025929#0,46875474,681548220,-95282524#0,365706986,23704115
59254368#0,170624716#2,44884987#0,156643284#0,682712370#2,1189786110#0,-97671479
968221183#1-AddedOnRampEdge,40963331#1,44884834#0,92403764#0,368086828#5,-365706979#0,95274348#3
265010578,584188121,166899880#0,34951880#1,680762193#1,59255423#1,492442417#1
-1030669190#0,388577161#2,44884665#4,90636499#2,851839123,365706990#0,95274384#3
47025712#0,44883380#0,172627210#0,682699851#0,1051315751#4,193610552,23488891#1
968221183#1,-746064102,1028573260#0,379075334#0,94094868#3,1056405596#1,48037790#3
4847514#1,746064102,-44884665#1,92204285#0,94094868#6,421328432#3,74314565#1
-1030669188,-23704726#2,23288368#0,-682699857#0,95396843#2,-1093327667#5,240388169#7
177148861#0,23704726#2,1028570786#5,34951786#0,35216007#10,-1189786110#1,-689924124#3
4848746,-27241669#1,44884669#0,263956788#0,368086828#8,-59664306#1,-24061029#4
4848912#2,682445848#1,170624731#3,379075334#1,1055855103#0,-59255423#2,1284334995#5
265010590#0,-131025961#0,-170624724#0,145569102#6,94094868#5,-47118453#6,97685693#2
-25868122,131025961#1,170624690#0,277549012,94094819#0,1237942418,240392355#0
4848899#0,-23704726#3,1028573261#4,34951694,94094801#2,-365706990#0,1085022611#1
4848899#0-AddedOffRampEdge,-269150824,167023144#0,128715078#2,667863957,1189786106,97671476#2
1030669190#0,-31283076#1,-368074418#2,537438903#6,438405583#7,-59338160,74314555#2
265010573#1,-23488562#1,1028572152#0,108891397#0,31046405,47118451#3,378279500
154083433#0,23488562#2,1028572138,203035372,-157238666#0,55889051#0,74314557#1
4848912#4,45173877,-1028572143#1,874155679#7,199311790,-1124642425,178988161#6
265010615,45173874#1,184580019#1,46983928#0,90795036#0,680508514-AddedOnRampEdge,97671424#2
211690628#1,44838406,209210755#6,41519621#1,368086834,680508547#1,95274348#2
-172368557#0,170624721#1,-44884670#2,264114941#1,438405583#6,1189786107,-680781433#1
4848745,-332634091#2,211708156#0,31090134,839784838#2,365706990#1,179260411#4
354858486,-332634091#4,170624692#1,263866527#0,72465206#1,1124642428#1,199152184
1030281241#3,1028619497#1,209210755#1,-175994174,94094796#1,401190971,273211091#3
968221183#5,-31283137#1,1028573263#1,1051311054#0,273211053#0,365706979#0,-1279121053
265010607#0,-23488562#4,23288368#1,264017278#2,95396776#0,146191009#0,95274362#1
-154083816#1,261514198#2,170624725,-34951700,-31046679,-1124642424#0,-680781433#2
-154083433#1,-46148745#0,-170624694,90636499#3,273211103#1,-59255423#0,69963033#0
154083816#1,46148745#1,44884834#4,-788084213,265176187#0,-55889051#0,517127275#0
1030671931#1,173954130#0,1028570790#5,537438903#3,368086828#6,1056393620,196380150#0
154083816#0,23704718#4,170624692#3,874155679#3,90795036#4,-55423023#0,198900384#2
-211690618#0,257239013#0,-44884836,33627357#0,95396823#1,653663652,-1055857393#0
4848899#1,810346011#3,44884665#0,263881203#1,47418248#8,47118451#0,97671327#0
-154083816#0,-171300273#0,-44884835#1,231779274,90636496#2,-401190971,689924123#1
-1030669187#1,-746064103,172627267#3,51937090,23443405#0,1093327667#4,163198815#7
-154083815,45173873,1028573261#1,-139505519#1,-95396821#0,-47118453#2,97685761#3
1030669187#1,584188121-AddedOnRampEdge,44884988#0,958539570#4,156938702#0-AddedOnRampEdge,47118453#4,636502358#2
4848747,-332634094#0,368083795#1,41818367#2,667863960,47118451#2,178988162#1
